worker,peer,time,bytes_sent,bytes_received
5,0,1,7368240,6578264
5,1,1,12479296,4061640
5,2,1,4215272,7340688
5,3,1,22703664,11604272
5,4,1,4542576,4565544
5,6,1,11553800,7793888
5,7,1,3790728,10693480
5,8,1,5197936,2296528
5,9,1,2774008,2577440
5,10,1,8474736,21821360
5,11,1,7295088,5695736
5,12,1,8547888,12597512
5,13,1,2231760,1017944
5,14,1,16412208,3585248
5,15,1,8736880,5010080
5,16,1,2482904,14332304
5,17,1,2004952,2170552
5,18,1,31747632,11191592
5,19,1,5329008,2613640
5,0,2,53112368,22884192
5,1,2,26766144,6236536
5,2,2,7492072,16609336
5,3,2,31092272,14736296
5,4,2,8343664,10639904
5,6,2,28068872,16054728
5,7,2,9820040,15551520
5,8,2,10309744,8049432
5,9,2,7099384,6475456
5,10,2,18567280,44804016
5,11,2,18960496,12507128
5,12,2,13397552,19579768
5,13,2,6163920,7431136
5,14,2,32927280,5460408
5,15,2,16732272,8273872
5,16,2,6939352,24867952
5,17,2,3708888,9613272
5,18,2,41184816,13615544
5,19,2,9261168,5344568
5,0,3,87846448,29714408
5,1,3,31091520,7148776
5,2,3,8671720,19417008
5,3,3,36859440,16985040
5,4,3,10965104,15185176
5,6,3,33573896,20921456
5,7,3,12441480,18218736
5,8,3,17125488,16088728
5,9,3,9196536,8680760
5,10,3,20009072,52281488
5,11,3,32854128,21396400
5,12,3,15494704,25289232
5,13,3,10751440,23302664
5,14,3,36073008,6181512
5,15,3,23416944,10590672
5,16,3,8905432,31921160
5,17,3,4492448,13841432
5,18,3,48786992,15716592
5,19,3,13848688,8696688
5,0,4,125595184,39359536
5,1,4,36989760,8447632
5,2,4,9851368,29315536
5,3,4,39218736,19081744
5,4,4,11620464,19132424
5,6,4,34098184,25019296
5,7,4,12441480,21977744
5,8,4,20009072,21489768
5,9,4,9196536,9640784
5,10,4,20271216,68067584
5,11,4,45305968,29318408
5,12,4,16543280,29258200
5,13,4,13241808,30867016
5,14,4,38563376,10621080
5,15,4,26955888,12266008
5,16,4,9954008,37161472
