worker,peer,time,bytes_sent,bytes_received
31,63,1,33636688,27016840
31,95,1,55104120,65627008
31,127,1,112263376,141053128
31,159,1,47348624,49638192
31,63,2,64831824,45245712
31,95,2,62050936,76295872
31,127,2,138346704,168862808
31,159,2,56392592,62783136
31,63,3,93012304,61773184
31,95,3,72143480,91032168
31,127,3,170459344,203035704
31,159,3,65567632,75440104
31,63,4,109003088,71406728
31,95,4,81187448,103490760
31,127,4,209912016,245095504
31,159,4,78150544,93293944
31,63,5,134168912,84060800
31,95,5,92197496,119741664
31,127,5,238616784,275132656
31,159,5,89815952,109976352
31,63,6,160252240,93886928
31,95,6,101634680,133460016
31,127,6,270860496,305849640
31,159,6,99908496,123853984
31,63,7,197869904,108306112
31,95,7,110678648,145702856
31,127,7,298647760,327613752
31,159,7,109214608,136794760
31,63,8,219365712,117046240
31,95,8,118411896,152767648
31,127,8,324337872,349000688
31,159,8,125074320,157740080
31,63,9,243876176,127308216
31,95,9,130601592,164759984
31,127,9,353960144,374435440
31,159,9,136215440,170957424
31,63,10,268779856,138793752
31,95,10,142791288,177304008
31,127,10,382140624,400111576
31,159,10,151681936,188456504
31,63,11,297877840,153254928
31,95,11,152883832,188628816
31,127,11,410714320,427427264
31,159,11,164264848,200108456
31,63,12,320422224,166013256
31,95,12,162976376,200098424
31,127,12,435749072,451088392
31,159,12,178420624,210043184
31,63,13,351093072,185472928
31,95,13,174117496,212685888
31,127,13,463536336,478433736
31,159,13,193756048,220439824
31,63,14,375472464,202501408
31,95,14,185389688,225290728
31,127,14,485032144,499724680
31,159,14,211057552,231091312
31,63,15,399720784,221309480
31,95,15,197579384,238186616
31,127,15,506527952,520313232
31,159,15,228227984,241236000
31,63,16,423969104,240433216
31,95,16,208065144,249094400
31,127,16,531693776,545573456
31,159,16,249592720,253142904
31,63,17,445989200,257195264
31,95,17,218550904,260133952
31,127,17,555286736,569202920
31,159,17,266763152,262614272
31,63,18,467878224,274634976
31,95,18,228250232,269388120
31,127,18,581370064,594832216
31,159,18,286686096,273931840
31,63,19,492781904,293968872
31,95,19,238998136,281014112
31,127,19,608633040,622273240
31,159,19,306084752,285320360
31,63,20,517292368,313596648
31,95,20,250270328,292566256
31,127,20,630522064,644307680
31,159,20,323779472,295094360
31,63,21,536559952,329089376
31,95,21,261018232,303223536
31,127,21,654377168,667900136
31,159,21,343309200,306620440
31,63,22,560415056,349659048
31,95,22,273076856,315653168
31,127,22,679674064,693065600
31,159,22,362314640,317639720
31,63,23,582304080,369514160
31,95,23,285266552,326876616
31,127,23,702218448,715741416
31,159,23,382499728,329839120
31,63,24,604324176,389611920
31,95,24,298766968,339878208
31,127,24,726991056,741826936
31,159,24,399145872,340603552
31,63,25,620970320,411434728
31,95,25,314102392,354818672
31,127,25,756089040,770397744
31,159,25,418544528,353409512
31,63,26,637223248,433553064
31,95,26,330224248,369785200
31,127,26,782041296,795826408
31,159,26,437681040,366820888
31,63,27,652820816,452149248
31,95,27,347394680,385100840
31,127,27,805634256,819681568
31,159,27,458128272,382204128
31,63,28,671695184,472612296
31,95,28,364827256,400408416
31,127,28,827654352,841701192
31,159,28,475954064,394115376
31,63,29,691880272,494871816
31,95,29,382521976,417771016
31,127,29,849805520,863721928
31,159,29,494042000,407635352
31,63,30,711410000,513899504
31,95,30,401527416,436574432
31,127,30,872349904,886658496
31,159,30,514882448,422568576
66,2,1,32596048,37742328
66,34,1,21068952,108177184
66,98,1,37510928,69655744
66,130,1,113537200,42975192
66,2,2,59334736,69624392
66,34,2,22903960,121012256
66,98,2,43671312,91329408
66,130,2,143683760,52618872
66,2,3,82403408,98229632
66,34,3,25263256,135871632
66,98,3,51404560,116806968
66,130,3,175272112,62817136
66,2,4,102588496,123074416
66,34,4,27622552,151908232
66,98,4,57827088,139156848
66,130,4,214855856,75847688
66,2,5,120676432,144905912
66,34,5,29850776,167535048
66,98,5,67264272,170248304
66,130,5,246313136,86567232
66,2,6,138895440,167536704
66,34,6,31947928,180142784
66,98,6,75128592,196090760
66,130,6,292581552,102379392
66,2,7,158294096,190907424
66,34,7,34569368,194559072
66,98,7,83255056,220087016
66,130,7,321286320,112618200
66,2,8,179920976,217112432
66,34,8,37977240,208428016
66,98,8,92561168,246013456
66,130,8,365588656,130220088
66,2,9,196436048,237340608
66,34,9,42826904,225286600
66,98,9,101342992,268716648
66,130,9,398749872,144151296
66,2,10,221077584,266590096
66,34,10,47807640,237827728
66,98,10,113532688,295379504
66,130,10,418541744,153293968
66,2,11,241131600,289924912
66,34,11,54623384,252694344
66,98,11,122707728,314892752
66,130,11,450130096,170118280
66,2,12,264462416,315928904
66,34,12,62880920,266870264
66,98,12,139091728,342013208
66,130,12,472150192,182156952
66,2,13,291332176,340985296
66,34,13,79527064,290006408
66,98,13,155475728,362458968
66,130,13,493777072,194278160
66,2,14,330522704,367957920
66,34,14,89881752,302272416
66,98,14,169893648,378097368
66,130,14,524316848,211448544
66,2,15,381509712,403946512
66,34,15,103251096,317401800
66,98,15,188636944,396863448
66,130,15,543584432,222212976
66,2,16,424501328,436432392
66,34,16,122125464,334359328
66,98,16,211574544,418166368
66,130,16,567570608,232480744
66,2,17,472473680,473589616
66,34,17,137854104,353420216
66,98,17,232414992,430112368
66,130,17,588411056,239649792
66,2,18,512712784,505813584
66,34,18,153451672,372234312
66,98,18,254697232,444328832
66,130,18,614101168,248001856
66,2,19,544956496,533028832
66,34,19,173898904,397761440
66,98,19,276586256,458797248
66,130,19,641364144,257345800
66,2,20,566190160,551520944
66,34,20,189758616,416957264
66,98,20,296378128,473019504
66,130,20,658927792,263806776
66,2,21,586899536,568963000
66,34,21,206797976,436356424
66,98,21,317611792,487464752
66,130,21,676098224,270075168
66,2,22,609837136,589029736
66,34,22,221478040,459556528
66,98,22,337927952,502395080
66,130,22,696152240,277197880
66,2,23,628449360,603130856
66,34,23,236027032,481679824
66,98,23,361127696,518928456
66,130,23,717648048,285200976
66,2,24,650076240,616967248
66,34,24,250707096,503334048
66,98,24,382230288,534751704
66,130,24,737308848,292294728
66,2,25,669474896,631075800
66,34,25,266304664,525353752
66,98,25,405692176,551367504
66,130,25,756969648,299814192
66,2,26,688218192,644296040
66,34,26,281640088,546457208
66,98,26,427712272,567456504
66,130,26,778596528,307589952
66,2,27,707747920,660193024
66,34,27,297893016,568476440
66,98,27,451960592,585456592
66,130,27,798257328,315519200
66,2,28,725180496,674859816
66,34,28,313752728,588924008
66,98,28,475553552,602841280
66,130,28,818573488,322961920
66,2,29,745234512,691695400
66,34,29,330267800,610945024
66,98,29,497442576,619079152
66,130,29,840069296,331702048
66,2,30,764371024,707897392
66,34,30,347176088,632964312
66,98,30,512646928,634802984
66,130,30,863400112,341476048
149,21,1,68187040,31922608
149,53,1,40722680,54007504
149,85,1,106382288,86565680
149,117,1,42513328,41142024
149,21,2,102396832,52675344
149,53,2,53567736,88454456
149,85,2,137184208,111426392
149,117,2,58373040,58741384
149,21,3,132543392,70429272
149,53,3,65495288,121096720
149,85,3,153961424,125140400
149,117,3,76854192,78720888
149,21,4,158626720,86490488
149,53,4,77422840,152361936
149,85,4,168379344,136265384
149,117,4,90747824,94236208
149,21,5,182743968,101083432
149,53,5,89874680,185238776
149,85,5,184107984,148858640
149,117,5,105034672,110348104
149,21,6,213021600,119515024
149,53,6,101409016,214756256
149,85,6,201409488,163134472
149,117,6,123515824,130298648
149,21,7,235434912,133507048
149,53,7,114254072,246321512
149,85,7,216089552,174336200
149,117,7,140030896,148394344
149,21,8,261518240,149886824
149,53,8,127099128,275894016
149,85,8,235619280,189583640
149,117,8,155890608,165676392
149,21,9,283276192,164287184
149,53,9,139419896,302044896
149,85,9,255542224,205274760
149,117,9,172667824,183926984
149,21,10,309228448,183157520
149,53,10,154231032,331065712
149,85,10,273630160,218775976
149,117,10,191542192,203939032
149,21,11,332952480,200618952
149,53,11,168124664,356965832
149,85,11,290538448,231534304
149,117,11,209105840,223635952
149,21,12,353792928,218139752
149,53,12,182804728,383161520
149,85,12,311116752,245931768
149,117,12,227586992,242807856
149,21,13,371880864,234735720
149,53,13,201679096,413723960
149,85,13,330122192,260437128
149,117,13,246330288,261814744
149,21,14,390493088,252196112
149,53,14,221733112,440987328
149,85,14,346637264,273754736
149,117,14,262845360,278468712
149,21,15,410809248,273224272
149,53,15,242442488,465367416
149,85,15,361841616,287893616
149,117,15,282112944,297682608
149,21,16,431387552,293880296
149,53,16,258433272,485552168
149,85,16,380060624,305145552
149,117,16,298628016,313847848
149,21,17,451310496,313676984
149,53,17,275210488,505606576
149,85,17,400901072,326199472
149,117,17,320779184,336383936
149,21,18,468874144,326765744
149,53,18,292118776,527102440
149,85,18,421872592,346514656
149,117,18,338473904,354087760
149,21,19,485520288,341448464
149,53,19,311124216,548890856
149,85,19,442057680,366222712
149,117,19,360100784,375714696
149,21,20,508064672,362300408
149,53,20,329212152,568389368
149,85,20,464077776,388326568
149,117,20,378188720,394457992
149,21,21,529691552,382616040
149,53,21,352149752,592867976
149,85,21,478626768,403652552
149,117,21,398635952,411471880
149,21,22,548828064,401621424
149,53,22,374825208,616436208
149,85,22,495797200,420832896
149,117,22,418034608,431681576
149,21,23,567047072,420364384
149,53,23,398024952,639823552
149,85,23,510739408,435119384
149,117,23,437171120,450424816
149,21,24,587625376,441074040
149,53,24,420831480,662787800
149,85,24,525550544,447586512
149,117,24,454865840,469693712
